【A級】
〔應在Big5碼中已有，並且很常用。若無，立即補完。〕 
5032	倲
50AA	傪
51C3	凃
5327	匧
53F9	叹
5402	吂
54CA	哊
54EF	哯
54F9	哹
5529	唩
553F	唿
571D	圝
5754	坔
5860	塠
58E0	壠
5952	奒
5C1E	尞
6290	抐
62BA	抺
62C1	拁
6331	挱
6337	挷
6352	捒
637E	捾
63E2	揢
6429	搩
6456	摖
6486	撆
64A8	撨
650B	攋
654B	敋
6571	敱
676E	杮
684A	桊
68B9	梹
6A42	橂
6E9A	溚
6F16	漖
7047	灇
70A3	炣
70CC	烌
71BB	熻
7721	眡
7804	砄
781B	砛
79E5	秥
7A34	稴
7AF3	竳
7AF5	竵
7CA9	粩
7E4F	繏
7F93	羓
7FB4	羴
80A8	肨
80EE	胮
8181	膁
81AD	膭
81FD	臽
8552	蕒
8573	蕳
85E0	藠
8795	螕
8818	蠘
8940	襀
8947	襇
8A90	誐
8E7D	蹽
9012	递
9029	逩
9311	錑
9595	閕
9757	靗
9815	頕
9D64	鵤
9ED7	黗
203B7	𠎷
20584	𠖄
205FB	𠗻
207A9	𠞩
207AD	𠞭
20803	𠠃
2081D	𠠝
20BD7	𠯗
20CBF	𠲿
21883	𡢃
22399	𢎙
22AE6	𢫦
22BED	𢯭
22BFE	𢯾
22C64	𢱤
22CB4	𢲴
22CB8	𢲸
22CC6	𢳆
22CEA	𢳪
22D80	𢶀
22F0C	𢼌
22F1B	𢼛
23073	𣁳
236EE	𣛮
23B88	𣮈
23CA9	𣲩
23EF8	𣻸
23F0E	𣼎
24259	𤉙
242B6	𤊶
2430D	𤌍
24352	𤍒
24419	𤐙
24430	𤐰
2479A	𤞚
24C8D	𤲍
24D83	𤶃
24E01	𤸁
24E31	𤸱
24E85	𤺅
24EAA	𤺪
2524C	𥉌
2531A	𥌚
25435	𥐵
25BDF	𥯟
25BE5	𥯥
25E86	𥺆
2624E	𦉎
26293	𦊓
26706	𦜆
267EA	𦟪
2725F	𧉟
27304	𧌄
27A63	𧩣
27B99	𧮙
27EF4	𧻴
27FEC	𧿬
27FF3	𧿳
280BE	𨂾
280BF	𨂿
28154	𨅔
28487	𨒇
28891	𨢑
2947E	𩑾
296E9	𩛩
29704	𩜄
29730	𩜰
29D71	𩵱
29E19	𩸙
29E36	𩸶
29F27	𩼧
2A04E	𪁎
2A41E	𪐞
2A590	𪖐
2A612	𪘒
2AE5A	𪹚
2B74F	𫝏
2B758	𫝘
2B75B	𫝛
2B77B	𫝻
2B7BC	𫞼
2B7C2	𫟂
2B7E7	𫟧
2B81B	𫠛
2B8C6	𫣆
2C816	𬠖
2C9B0	𬦰
308FB	𰣻
30E6C	𰹬
31C7F	𱱿

【版本】
第1.8版：2022/09/06
第1.7版：2020/09/17
第1.6版：2019/09/23
第1.5版：2018/12/24
第1.4版：2014/01/27
第1.3版：2013/12/01
第1.2版：2013/10/18
第1.1版：2013/09/21
第1.0版：2013/08/21
